,text,label,sents,clean_text,words
10,在这家点过好多次了，大都很好吃，外卖速度也很快，分量足！,0,['在这家点过好多次了，大都很好吃，外卖速度也很快，分量足！'],在这家点过好多次了大都很好吃外卖速度也很快分量足,"['在', '这家', '点过', '好', '多次', '了', '大都', '很', '好吃', '外卖', '速度', '也', '很快', '分量', '足']"
11,分量很大，有三个素菜和荤菜，整体上很好吃，外卖速度也很快,0,['分量很大，有三个素菜和荤菜，整体上很好吃，外卖速度也很快'],分量很大有三个素菜和荤菜整体上很好吃外卖速度也很快,"['分量', '很大', '有', '三个', '素菜', '和', '荤菜', '整体', '上', '很', '好吃', '外卖', '速度', '也', '很快']"
12,过生日时候一般在这里买蛋糕 团票的话更方便实惠 蛋糕口味挺多的 做的也比较快 不错很好的选择,0,['过生日时候一般在这里买蛋糕 团票的话更方便实惠 蛋糕口味挺多的 做的也比较快 不错很好的选择'],过生日时候一般在这里买蛋糕团票的话更方便实惠蛋糕口味挺多的做的也比较快不错很好的选择,"['过生日', '时候', '一般', '在', '这里', '买', '蛋糕', '团票', '的话', '更', '方便', '实惠', '蛋糕', '口味', '挺', '多', '的', '做', '的', '也', '比较', '快', '不错', '很', '好', '的', '选择']"
13,第一次来这吃 环境很好 味道也很正宗 团票的话也不是很贵 分量也很足 吃完一本满足 在万达附近也比较方便 吃完之后还可以顺便到万达里面逛逛 服务态度也很好 可以自己动手烤也可以让她们帮忙烤 很轻松愉悦的氛围 放的歌也好听哈,0,['第一次来这吃 环境很好 味道也很正宗 团票的话也不是很贵 分量也很足 吃完一本满足 在万达附近也比较方便 吃完之后还可以顺便到万达里面逛逛 服务态度也很好 可以自己动手烤也可以让她们帮忙烤 很轻松愉悦的氛围 放的歌也好听哈'],第一次来这吃环境很好味道也很正宗团票的话也不是很贵分量也很足吃完一本满足在万达附近也比较方便吃完之后还可以顺便到万达里面逛逛服务态度也很好可以自己动手烤也可以让她们帮忙烤很轻松愉悦的氛围放的歌也好听哈,"['第一次', '来', '这', '吃', '环境', '很', '好', '味道', '也', '很', '正宗', '团票', '的话', '也', '不是', '很', '贵', '分量', '也', '很', '足', '吃', '完', '一本', '满足', '在', '万达', '附近', '也', '比较', '方便', '吃', '完', '之后', '还', '可以', '顺便', '到', '万达', '里面', '逛逛', '服务态度', '也', '很', '好', '可以', '自己', '动手', '烤', '也', '可以', '让', '她们', '帮忙', '烤', '很', '轻松', '愉悦', '的', '氛围', '放', '的', '歌', '也好', '听哈']"
14,经常点这家的外卖！红烧肉很好吃！外卖也到的快。就是美食广场里的环境不是特别好。,0,"['经常点这家的外卖！', '红烧肉很好吃！', '外卖也到的快。', '就是美食广场里的环境不是特别好。']",经常点这家的外卖红烧肉很好吃外卖也到的快就是美食广场里的环境不是特别好,"['经常', '点', '这家', '的', '外卖', '红烧肉', '很', '好吃', '外卖', '也', '到', '的', '快', '就是', '美食', '广场', '里', '的', '环境', '不是', '特别', '好']"
15,去过好几次啦，上次去点了美团的套餐。牛排很软很好吃，意面也很棒！另外套餐里的奶茶也很好喝喔,0,"['去过好几次啦，上次去点了美团的套餐。', '牛排很软很好吃，意面也很棒！', '另外套餐里的奶茶也很好喝喔']",去过好几次啦上次去点了美团的套餐牛排很软很好吃意面也很棒另外套餐里的奶茶也很好喝喔,"['去过', '好', '几次', '啦', '上次', '去', '点', '了', '美团', '的', '套餐', '牛排', '很软', '很', '好吃', '意面', '也', '很棒', '另外', '套餐', '里', '的', '奶茶', '也', '很', '好喝', '喔']"
16,牛肉超新鲜！不是冷冻的那种，眼睁睁看着切出来的，哈哈哈,0,"['牛肉超新鲜！', '不是冷冻的那种，眼睁睁看着切出来的，哈哈哈']",牛肉超新鲜不是冷冻的那种眼睁睁看着切出来的哈哈哈,"['牛肉', '超', '新鲜', '不是', '冷冻', '的', '那种', '眼睁睁', '看着', '切出来', '的', '哈哈哈']"
17,肉特别的新鲜 鸡汤锅底里有半只鸡,0,['肉特别的新鲜 鸡汤锅底里有半只鸡'],肉特别的新鲜鸡汤锅底里有半只鸡,"['肉', '特别', '的', '新鲜', '鸡汤', '锅底', '里', '有', '半只', '鸡']"
18,好吃好吃，肉的味道和份量都很满意，菜单上的推荐菜品都很好吃，雪花猪肉，护心肉，韩式烤牛肉，冷面都很好吃，环境很干净，服务态度好，是很好的餐厅！推荐！,0,"['好吃好吃，肉的味道和份量都很满意，菜单上的推荐菜品都很好吃，雪花猪肉，护心肉，韩式烤牛肉，冷面都很好吃，环境很干净，服务态度好，是很好的餐厅！', '推荐！']",好吃好吃肉的味道和份量都很满意菜单上的推荐菜品都很好吃雪花猪肉护心肉韩式烤牛肉冷面都很好吃环境很干净服务态度好是很好的餐厅推荐,"['好吃', '好吃', '肉', '的', '味道', '和', '份量', '都', '很', '满意', '菜单', '上', '的', '推荐', '菜品', '都', '很', '好吃', '雪花', '猪肉', '护心肉', '韩式', '烤牛肉', '冷面', '都', '很', '好吃', '环境', '很', '干净', '服务态度', '好', '是', '很', '好', '的', '餐厅', '推荐']"
19,招牌猪肉云吞面特别好吃，每次几乎必点，新出的系列也很好吃，台式炸猪排味道也很好，餐厅环境很好，上菜也很快，是一家很好的餐厅。,0,['招牌猪肉云吞面特别好吃，每次几乎必点，新出的系列也很好吃，台式炸猪排味道也很好，餐厅环境很好，上菜也很快，是一家很好的餐厅。'],招牌猪肉云吞面特别好吃每次几乎必点新出的系列也很好吃台式炸猪排味道也很好餐厅环境很好上菜也很快是一家很好的餐厅,"['招牌', '猪肉', '云吞面', '特别', '好吃', '每次', '几乎', '必点', '新出', '的', '系列', '也', '很', '好吃', '台式', '炸', '猪排', '味道', '也', '很', '好', '餐厅', '环境', '很', '好', '上菜', '也', '很快', '是', '一家', '很', '好', '的', '餐厅']"
20,真的好吃，服务员态度特别好，包间隔音也很好，晒一张招牌叫化鸡,0,['真的好吃，服务员态度特别好，包间隔音也很好，晒一张招牌叫化鸡'],真的好吃服务员态度特别好包间隔音也很好晒一张招牌叫化鸡,"['真的', '好吃', '服务员', '态度', '特别', '好', '包间', '隔音', '也', '很', '好', '晒', '一张', '招牌', '叫化', '鸡']"
21,不错，同学聚会选在了那里用了团购券，很划算咯,0,['不错，同学聚会选在了那里用了团购券，很划算咯'],不错同学聚会选在了那里用了团购券很划算咯,"['不错', '同学聚会', '选在', '了', '那里', '用', '了', '团购', '券', '很', '划算', '咯']"
22,菜品质量不错！口味对于重庆人来讲稍微轻了一些，不过挺健康的哈哈,0,"['菜品质量不错！', '口味对于重庆人来讲稍微轻了一些，不过挺健康的哈哈']",菜品质量不错口味对于重庆人来讲稍微轻了一些不过挺健康的哈哈,"['菜品', '质量', '不错', '口味', '对于', '重庆', '人', '来讲', '稍微', '轻', '了', '一些', '不过', '挺', '健康', '的', '哈哈']"
23,"期中考，期末考之后,过中秋吃火锅的首选嘻嘻,牛油红锅很棒，牛蛙好次，西瓜烧酒强推，各种优惠推得比较频繁",0,"['期中考，期末考之后,过中秋吃火锅的首选嘻嘻,牛油红锅很棒，牛蛙好次，西瓜烧酒强推，各种优惠推得比较频繁']",期中考期末考之后过中秋吃火锅的首选嘻嘻牛油红锅很棒牛蛙好次西瓜烧酒强推各种优惠推得比较频繁,"['期中考', '期末考', '之后', '过', '中秋', '吃火锅', '的', '首选', '嘻嘻', '牛油', '红锅', '很棒', '牛蛙', '好次', '西瓜', '烧酒', '强推', '各种', '优惠', '推', '得', '比较', '频繁']"
24,我觉得超好吃啊！环境好，上菜快，还不贵hhh,0,"['我觉得超好吃啊！', '环境好，上菜快，还不贵hhh']",我觉得超好吃啊环境好上菜快还不贵,"['我', '觉得', '超', '好吃', '啊', '环境', '好', '上菜', '快', '还', '不贵']"
25,"地方还挺好找的呢～有直达电梯！首先,这家店真心是我喜欢的类型，人不是很多，游乐设施有几样，桌上足球，台球，还有飞镖等等，满足我的爱玩的心理！喜欢！其次，服务员态度很好呢，最喜欢那种有谢有答，腼腆可爱的服务员啦！赞一个！喜欢店内的格局，座位很宽还能看体育赛事，大屏幕投影还有电视，喜欢！最后就是汉堡还有猪肋排啦，我觉得烧烤味的猪肋排和球状的汉堡都很好吃，量很足，棒棒哒！拍照也很好看呢哈哈！还给了优惠券哦～",0,"['地方还挺好找的呢～有直达电梯！', '首先,这家店真心是我喜欢的类型，人不是很多，游乐设施有几样，桌上足球，台球，还有飞镖等等，满足我的爱玩的心理！', '喜欢！', '其次，服务员态度很好呢，最喜欢那种有谢有答，腼腆可爱的服务员啦！', '赞一个！', '喜欢店内的格局，座位很宽还能看体育赛事，大屏幕投影还有电视，喜欢！', '最后就是汉堡还有猪肋排啦，我觉得烧烤味的猪肋排和球状的汉堡都很好吃，量很足，棒棒哒！', '拍照也很好看呢哈哈！', '还给了优惠券哦～']",地方还挺好找的呢有直达电梯首先这家店真心是我喜欢的类型人不是很多游乐设施有几样桌上足球台球还有飞镖等等满足我的爱玩的心理喜欢其次服务员态度很好呢最喜欢那种有谢有答腼腆可爱的服务员啦赞一个喜欢店内的格局座位很宽还能看体育赛事大屏幕投影还有电视喜欢最后就是汉堡还有猪肋排啦我觉得烧烤味的猪肋排和球状的汉堡都很好吃量很足棒棒哒拍照也很好看呢哈哈还给了优惠券哦,"['地方', '还', '挺', '好找', '的', '呢', '有', '直达', '电梯', '首先', '这家', '店', '真心', '是', '我', '喜欢', '的', '类型', '人', '不是', '很多', '游乐', '设施', '有', '几样', '桌上', '足球', '台球', '还有', '飞镖', '等等', '满足', '我', '的', '爱玩', '的', '心理', '喜欢', '其次', '服务员', '态度', '很', '好', '呢', '最', '喜欢', '那种', '有谢', '有', '答', '腼腆', '可爱', '的', '服务员', '啦', '赞', '一个', '喜欢', '店内', '的', '格局', '座位', '很', '宽', '还', '能', '看', '体育赛事', '大屏幕', '投影', '还有', '电视', '喜欢', '最后', '就是', '汉堡', '还有', '猪', '肋排', '啦', '我', '觉得', '烧烤', '味', '的', '猪', '肋排', '和', '球状', '的', '汉堡', '都', '很', '好吃', '量', '很', '足', '棒棒', '哒', '拍照', '也', '很', '好看', '呢', '哈哈', '还给', '了', '优惠券', '哦']"
26,先说下排队哈，电话预约的。听闻异常难排，三点准时打电话，其实是按照你几点去拍几号的，有大致时间段，不是先到先得那种。大概七点半才吃上。店面小，一共十桌不到的样子，地方不太好找，弯弯绕绕。酱料是一大特色，店员会根据顾客口味调制酱料，不过也有我无法接受的味道，麻酱还挺好吃的。团购了四人套餐，价格很划算，菜品丰富荤素搭配，尽管如此我们四个吃货还是加了不少菜，一共消费四百不到，感觉菜品都还行，挺好吃的，因为价格划算汤底不算巨辣的那种，我觉得还会再来的。,0,"['先说下排队哈，电话预约的。', '听闻异常难排，三点准时打电话，其实是按照你几点去拍几号的，有大致时间段，不是先到先得那种。', '大概七点半才吃上。', '店面小，一共十桌不到的样子，地方不太好找，弯弯绕绕。', '酱料是一大特色，店员会根据顾客口味调制酱料，不过也有我无法接受的味道，麻酱还挺好吃的。', '团购了四人套餐，价格很划算，菜品丰富荤素搭配，尽管如此我们四个吃货还是加了不少菜，一共消费四百不到，感觉菜品都还行，挺好吃的，因为价格划算汤底不算巨辣的那种，我觉得还会再来的。']",先说下排队哈电话预约的听闻异常难排三点准时打电话其实是按照你几点去拍几号的有大致时间段不是先到先得那种大概七点半才吃上店面小一共十桌不到的样子地方不太好找弯弯绕绕酱料是一大特色店员会根据顾客口味调制酱料不过也有我无法接受的味道麻酱还挺好吃的团购了四人套餐价格很划算菜品丰富荤素搭配尽管如此我们四个吃货还是加了不少菜一共消费四百不到感觉菜品都还行挺好吃的因为价格划算汤底不算巨辣的那种我觉得还会再来的,"['先说', '下', '排队', '哈', '电话', '预约', '的', '听闻', '异常', '难排', '三点', '准时', '打电话', '其实', '是', '按照', '你', '几点', '去', '拍', '几号', '的', '有', '大致', '时间段', '不是', '先到', '先得', '那种', '大概', '七点', '半才', '吃', '上', '店面', '小', '一共', '十桌', '不到', '的', '样子', '地方', '不太好', '找', '弯弯绕', '绕', '酱料', '是', '一大', '特色', '店员', '会', '根据', '顾客', '口味', '调制', '酱料', '不过', '也', '有', '我', '无法', '接受', '的', '味道', '麻酱', '还', '挺好吃', '的', '团购', '了', '四人', '套餐', '价格', '很', '划算', '菜品', '丰富', '荤素', '搭配', '尽管如此', '我们', '四个', '吃货', '还是', '加', '了', '不少', '菜', '一共', '消费', '四百', '不到', '感觉', '菜品', '都', '还行', '挺好吃', '的', '因为', '价格', '划算', '汤底', '不算', '巨辣', '的', '那种', '我', '觉得', '还会', '再', '来', '的']"
27,火锅味道很不错呢，服务员态度也很好，就在野生动物园附近，过来玩吃饭很方便的,0,['火锅味道很不错呢，服务员态度也很好，就在野生动物园附近，过来玩吃饭很方便的'],火锅味道很不错呢服务员态度也很好就在野生动物园附近过来玩吃饭很方便的,"['火锅', '味道', '很', '不错', '呢', '服务员', '态度', '也', '很', '好', '就', '在', '野生', '动物园', '附近', '过来', '玩', '吃饭', '很', '方便', '的']"
28,牛排味道还可以，点了菲力和沙朗，黑椒汁太咸太辣啦！分量稍微有点少,0,"['牛排味道还可以，点了菲力和沙朗，黑椒汁太咸太辣啦！', '分量稍微有点少']",牛排味道还可以点了菲力和沙朗黑椒汁太咸太辣啦分量稍微有点少,"['牛排', '味道', '还', '可以', '点', '了', '菲力', '和', '沙朗', '黑椒', '汁', '太', '咸太辣', '啦', '分量', '稍微', '有点', '少']"
29,环境好价格还很实惠，鸡爪超超超好吃，对酥酥的鸡爪真是毫无抵抗(◍•ᴗ•◍)，有一点就是配菜有点少如果能自己选就好了，然后大锅的鸡爪四个姑娘吃能吃撑,0,['环境好价格还很实惠，鸡爪超超超好吃，对酥酥的鸡爪真是毫无抵抗(◍•ᴗ•◍)，有一点就是配菜有点少如果能自己选就好了，然后大锅的鸡爪四个姑娘吃能吃撑'],环境好价格还很实惠鸡爪超超超好吃对酥酥的鸡爪真是毫无抵抗有一点就是配菜有点少如果能自己选就好了然后大锅的鸡爪四个姑娘吃能吃撑,"['环境', '好', '价格', '还', '很', '实惠', '鸡爪', '超超超', '好吃', '对', '酥酥的', '鸡爪', '真是', '毫无', '抵抗', '有', '一点', '就是', '配菜', '有点', '少', '如果', '能', '自己', '选', '就', '好', '了', '然后', '大锅', '的', '鸡爪', '四个', '姑娘', '吃', '能', '吃', '撑']"
30,份量很足，四个女生会吃到撑。而且菜品很丰富，食材也都很新鲜，口味也是一级棒，确实有泰式风味，团一下能省很多钱，值得推荐！,0,"['份量很足，四个女生会吃到撑。', '而且菜品很丰富，食材也都很新鲜，口味也是一级棒，确实有泰式风味，团一下能省很多钱，值得推荐！']",份量很足四个女生会吃到撑而且菜品很丰富食材也都很新鲜口味也是一级棒确实有泰式风味团一下能省很多钱值得推荐,"['份量', '很足', '四个', '女生', '会', '吃', '到', '撑', '而且', '菜品', '很', '丰富', '食材', '也', '都', '很', '新鲜', '口味', '也', '是', '一级', '棒', '确实', '有', '泰式', '风味', '团', '一下', '能省', '很多', '钱', '值得', '推荐']"
31,酸菜鱼特别好吃，鱼肉很薄很嫩，汤也很好喝，吃了鱼之后可以再涮菜吃火锅。,0,['酸菜鱼特别好吃，鱼肉很薄很嫩，汤也很好喝，吃了鱼之后可以再涮菜吃火锅。'],酸菜鱼特别好吃鱼肉很薄很嫩汤也很好喝吃了鱼之后可以再涮菜吃火锅,"['酸菜鱼', '特别', '好吃', '鱼肉', '很', '薄', '很', '嫩', '汤', '也', '很', '好喝', '吃', '了', '鱼', '之后', '可以', '再', '涮', '菜', '吃火锅']"
32,椒麻鸡好吃！鸡炒米粉好吃！酸奶好喝！但是最好吃的是黄面烤肉！感觉是上海目前为止吃到过最正宗最好吃的黄面烤肉！,0,"['椒麻鸡好吃！', '鸡炒米粉好吃！', '酸奶好喝！', '但是最好吃的是黄面烤肉！', '感觉是上海目前为止吃到过最正宗最好吃的黄面烤肉！']",椒麻鸡好吃鸡炒米粉好吃酸奶好喝但是最好吃的是黄面烤肉感觉是上海目前为止吃到过最正宗最好吃的黄面烤肉,"['椒', '麻鸡', '好吃', '鸡', '炒', '米粉', '好吃', '酸奶', '好喝', '但是', '最', '好吃', '的', '是', '黄面', '烤肉', '感觉', '是', '上海', '目前为止', '吃', '到', '过', '最', '正宗', '最', '好吃', '的', '黄面', '烤肉']"
33,口感很好，很适合年轻人的口味，食材也很新鲜。,0,['口感很好，很适合年轻人的口味，食材也很新鲜。'],口感很好很适合年轻人的口味食材也很新鲜,"['口感', '很', '好', '很', '适合', '年轻人', '的', '口味', '食材', '也', '很', '新鲜']"
34,大冬天吃火锅超棒，牛肉特别嫩，服务态度也很好~,0,['大冬天吃火锅超棒，牛肉特别嫩，服务态度也很好~'],大冬天吃火锅超棒牛肉特别嫩服务态度也很好,"['大', '冬天', '吃火锅', '超棒', '牛肉', '特别', '嫩', '服务态度', '也', '很', '好']"
35,在金街上开的一家烤肉店，送了很多冷菜和蔬菜，一直有人过来帮忙烤，服务态度很好~,0,['在金街上开的一家烤肉店，送了很多冷菜和蔬菜，一直有人过来帮忙烤，服务态度很好~'],在金街上开的一家烤肉店送了很多冷菜和蔬菜一直有人过来帮忙烤服务态度很好,"['在', '金', '街上', '开', '的', '一家', '烤肉店', '送', '了', '很多', '冷菜', '和', '蔬菜', '一直', '有人', '过来', '帮忙', '烤', '服务态度', '很', '好']"
36,牛肉石锅拌饭的牛肉超多，料十足，芝士年糕也好好吃，老板娘人很好。,0,['牛肉石锅拌饭的牛肉超多，料十足，芝士年糕也好好吃，老板娘人很好。'],牛肉石锅拌饭的牛肉超多料十足芝士年糕也好好吃老板娘人很好,"['牛肉', '石锅', '拌', '饭', '的', '牛肉', '超多料', '十足', '芝士', '年糕', '也好', '好吃', '老板娘', '人', '很', '好']"
37,长泰的环境真不错，Mo-Mo的服务也很好，菜品很齐全，第一次吃寿喜锅，说实在的，和火锅也没什么区别。,0,['长泰的环境真不错，Mo-Mo的服务也很好，菜品很齐全，第一次吃寿喜锅，说实在的，和火锅也没什么区别。'],长泰的环境真不错的服务也很好菜品很齐全第一次吃寿喜锅说实在的和火锅也没什么区别,"['长泰', '的', '环境', '真不错', '的', '服务', '也', '很', '好', '菜品', '很', '齐全', '第一次', '吃寿喜', '锅', '说', '实在', '的', '和', '火锅', '也', '没什么', '区别']"
38,火车头是最招牌也最称得住招牌的，值得赞美,0,['火车头是最招牌也最称得住招牌的，值得赞美'],火车头是最招牌也最称得住招牌的值得赞美,"['火车头', '是', '最', '招牌', '也', '最称', '得', '住', '招牌', '的', '值得', '赞美']"
39,三样烤肠多汁好味，不配黑啤要腻的。烤猪手是要有酸菜酸黄瓜才好吃啊。甜点很尴尬，不知哪边批来的，劣过鸡肋,0,"['三样烤肠多汁好味，不配黑啤要腻的。', '烤猪手是要有酸菜酸黄瓜才好吃啊。', '甜点很尴尬，不知哪边批来的，劣过鸡肋']",三样烤肠多汁好味不配黑啤要腻的烤猪手是要有酸菜酸黄瓜才好吃啊甜点很尴尬不知哪边批来的劣过鸡肋,"['三样', '烤肠', '多汁', '好味', '不配', '黑啤', '要', '腻', '的', '烤', '猪手', '是', '要', '有', '酸菜', '酸黄瓜', '才', '好吃', '啊', '甜点', '很', '尴尬', '不知', '哪边', '批来', '的', '劣过', '鸡肋']"
40,虽说海鲜自助海鲜只有几种，其他东西种类是挺多的，但是为了吃海鲜的不推荐，为了吃自助的还是推荐的。同价位的青浦海鲜多。不是为了陪朋友我不会第二次来的…,0,"['虽说海鲜自助海鲜只有几种，其他东西种类是挺多的，但是为了吃海鲜的不推荐，为了吃自助的还是推荐的。', '同价位的青浦海鲜多。', '不是为了陪朋友我不会第二次来的…']",虽说海鲜自助海鲜只有几种其他东西种类是挺多的但是为了吃海鲜的不推荐为了吃自助的还是推荐的同价位的青浦海鲜多不是为了陪朋友我不会第二次来的,"['虽说', '海鲜', '自助', '海鲜', '只有', '几种', '其他', '东西', '种类', '是', '挺', '多', '的', '但是', '为了', '吃海鲜', '的', '不', '推荐', '为了', '吃', '自助', '的', '还是', '推荐', '的', '同价位', '的', '青浦', '海鲜', '多', '不是', '为了', '陪', '朋友', '我', '不会', '第二次', '来', '的']"
41,好评！以后还会去吃的！种类丰富！,0,"['好评！', '以后还会去吃的！', '种类丰富！']",好评以后还会去吃的种类丰富,"['好评', '以后', '还会', '去', '吃', '的', '种类', '丰富']"
42,非常棒的创意哦~牛油果的各种搭配，有brunch有晚餐，超爱的炸鱼薯条这里也有炸鱼牛油果的搭配~,0,['非常棒的创意哦~牛油果的各种搭配，有brunch有晚餐，超爱的炸鱼薯条这里也有炸鱼牛油果的搭配~'],非常棒的创意哦牛油果的各种搭配有有晚餐超爱的炸鱼薯条这里也有炸鱼牛油果的搭配,"['非常', '棒', '的', '创意', '哦', '牛油果', '的', '各种', '搭配', '有', '有', '晚餐', '超爱', '的', '炸鱼', '薯条', '这里', '也', '有', '炸鱼', '牛油果', '的', '搭配']"
43,妈妈说想吃自助烧烤，最后选择了赤坂小亭，之前是赤坂亭的忠实粉，但因为妈妈不吃刺生，所以小亭是个不错的选择~菜的选择很多，非常新鲜，菜全部放在冷藏的房间里面可以进去挑选，自助烧烤，妈妈超满意。推荐羊排和牛肉~~~,0,"['妈妈说想吃自助烧烤，最后选择了赤坂小亭，之前是赤坂亭的忠实粉，但因为妈妈不吃刺生，所以小亭是个不错的选择~菜的选择很多，非常新鲜，菜全部放在冷藏的房间里面可以进去挑选，自助烧烤，妈妈超满意。', '推荐羊排和牛肉~~~']",妈妈说想吃自助烧烤最后选择了赤坂小亭之前是赤坂亭的忠实粉但因为妈妈不吃刺生所以小亭是个不错的选择菜的选择很多非常新鲜菜全部放在冷藏的房间里面可以进去挑选自助烧烤妈妈超满意推荐羊排和牛肉,"['妈妈', '说', '想', '吃', '自助', '烧烤', '最后', '选择', '了', '赤坂', '小亭', '之前', '是', '赤坂', '亭', '的', '忠实', '粉', '但', '因为', '妈妈', '不吃', '刺生', '所以', '小亭', '是', '个', '不错', '的', '选择', '菜', '的', '选择', '很多', '非常', '新鲜菜', '全部', '放在', '冷藏', '的', '房间', '里面', '可以', '进去', '挑选', '自助', '烧烤', '妈妈', '超', '满意', '推荐', '羊排', '和', '牛肉']"
44,吃了好几次了，就是吃不腻，烤鸭，香酥鸭都吃过了，很好吃，强烈推荐,0,['吃了好几次了，就是吃不腻，烤鸭，香酥鸭都吃过了，很好吃，强烈推荐'],吃了好几次了就是吃不腻烤鸭香酥鸭都吃过了很好吃强烈推荐,"['吃', '了', '好', '几次', '了', '就是', '吃', '不腻', '烤鸭', '香酥', '鸭', '都', '吃', '过', '了', '很', '好吃', '强烈推荐']"
